,Price,Year,Mileage,City,State,Vin,Make,Model,City Rank,State Rank,Vin Rank,Make Rank,Model Rank,Predicted Price
69,25593,2013,52513,West Chester, PA,5FNRL5H92DB089897,Honda,OdysseyTouring,67,10,69,9,61,17849.35497923582
70,27995,2017,14343,Portsmouth, NH,1C6RR7GG0HS677596,Ram,1500SLT,68,30,70,20,62,20724.121359707304
71,21999,2016,45440,Carlsbad, CA,2C4RC1BG3GR298557,Chrysler,Town,69,9,71,7,35,18391.96681457012
72,9995,2006,100229,Newburyport, MA,JNRAS08W06X208659,INFINITI,FX35AWD,70,21,72,22,63,14256.285297911736
73,21500,2014,22788,Palo Alto, CA,1HGCR3F96EA031735,Honda,Accord,71,9,73,9,40,20058.310775862843
74,14995,2014,39699,Charlotte, NC,5XYZT3LB7EG142909,Hyundai,Santa,48,7,74,21,64,18798.50562169089
75,28478,2014,27795,Houston, TX,KMHGH4JH6EU089992,Hyundai,EquusUltimate,6,6,75,21,65,19629.818214965326
76,18995,2014,36316,City of Industry, CA,5XYZU3LBXEG156672,Hyundai,Santa,72,9,76,21,64,19083.69958475309
77,34104,2015,16101,ORLANDO, FL,WDDPK4HA2FF107611,Mercedes-Benz,SLK-ClassSLK250,73,19,77,6,66,20595.75294850652
78,8850,2013,48587,Upper Marlboro, MD,1C3CDFBH5DD184734,Dodge,DartSXT,74,25,78,19,67,18175.20481785199
79,30200,2010,71898,Lake City, FL,1FTSW2BR5AEA05990,Ford,Super,75,19,79,4,68,16420.487777245464
80,20519,2013,4851,Ocala, FL,3C6JR6AT3DG507294,Ram,"1500Tradesman,",76,19,80,20,69,21420.734947029312
81,36995,2017,12968,Suffolk, VA,5GAKVBKD3HJ140346,Buick,EnclaveLeather,77,12,81,23,70,20866.301044525928
82,29795,2014,30671,Oneida, NY,1C4RDJDG3EC593030,Dodge,DurangoLimited,78,31,82,19,71,19529.547697119833
83,12931,2013,46977,Shippensburg, PA,1C4NJDBB9DD280718,Jeep,CompassSport,79,10,83,1,72,18313.19293789231
84,9999,2014,49284,Henderson, NV,JN8AZ2KR4ET350808,Nissan,cubeS,80,32,84,2,31,18127.50306727852
85,48719,2017,6322,Covington, LA,2T2ZZMCA1HC037726,Lexus,RXRX,81,33,85,8,73,21375.41772376031
86,12709,2015,27144,Aurora, OH,19XFB2E56FE041513,Honda,Civic,82,4,86,9,19,19772.880745637376
87,31950,2013,83179,Rolla, MO,1FTFW1ET2DFA67543,Ford,F-150SuperCrew,83,24,87,4,8,15600.227865840174
88,8860,1999,152400,Garner, NC,1J4FY19S0XP481084,Jeep,Wrangler2dr,84,7,88,1,74,10378.774557250272
89,8995,2009,81237,Dade City, FL,2G1WT57K091179656,Chevrolet,Impala4dr,85,19,89,0,75,15758.36319113716
90,12095,2012,93745,Antioch, TN,1N4AL2APXCN479124,Nissan,Altima4dr,86,13,90,2,76,14868.261361251534
91,15796,2010,70302,Tucson, AZ,1GA2G1DG7A1154565,Chevrolet,Express,87,18,91,0,77,16586.857989579785
92,17477,2017,23075,San Mateo, CA,3FA6P0LU8HR261088,Ford,FusionHybrid,88,9,92,4,78,20161.079327892294
93,14474,2011,37762,Corpus Christi, TX,5J6RE3H75BL023393,Honda,CR-V2WD,89,6,93,9,79,19014.20810960441
94,449000,2016,44,New York, NY,WP0AF2A97GS195329,Porsche,9112dr,90,31,94,24,80,21866.8439940587
95,20841,2016,24197,Bellevue, WA,JF2GPABC2G8254703,Subaru,CrosstrekPremium,91,3,95,10,81,20079.895739843294
96,54988,2015,53625,Wilmington, NC,1GYS4BKJ0FR288258,Cadillac,Escalade4WD,92,7,96,25,82,17896.31165273333
97,11324,2016,33531,Redmond, OR,1C3CDFBA3GD629446,Dodge,DartSXT,93,28,97,19,67,19388.028305487976
98,33750,2014,16667,Farmingdale, NY,1C4HJWEG1EL256453,Jeep,Wrangler,94,31,98,1,1,20567.788097456374
99,64000,2014,33006,Miami, FL,SALGS2WF9EA195655,Land,Rover,95,19,99,26,83,19424.2650720158
100,21379,2012,71596,Auburn, MA,WVGEG9BP8CD012096,Volkswagen,Touareg4dr,96,21,100,16,84,16550.180253032
101,33800,2016,7700,North Plainfield, NJ,1GCGTDE34G1340787,Chevrolet,ColoradoCrew,97,20,101,0,85,21325.87957522947
102,24900,2014,27008,Dumfries, VA,WBA3B9G59ENR90442,BMW,3,98,12,102,13,86,19879.595631689645
103,10995,2009,133540,Barre, VT,5TDBK22C89S023767,Toyota,Sienna5dr,99,34,103,3,87,11945.93481851589
104,25995,2013,68153,Charlotte, NC,SALVV2BG6DH759023,Land,Rover,48,7,104,26,83,16762.88480857475
105,47000,2017,2688,Nanuet, NY,2G61N5S33H9120941,Cadillac,XTSAWD,100,31,105,25,88,21724.895576780455
106,17587,2017,37467,Nashville, TN,1FMCU0G93HUA69688,Ford,EscapeFWD,101,13,106,4,89,19151.834067173244
107,18995,2015,19554,Elmhurst, IL,2GKALREK5F6322485,GMC,TerrainFWD,102,2,107,11,90,20460.19686537528
108,19287,2016,38445,Victorville, CA,2T3BFREVXGW445867,Toyota,RAV4AWD,103,9,108,3,91,19076.842360302853
109,16495,2014,50344,Doral, FL,WBA3A5G53ENP30212,BMW,3,104,19,109,13,86,18175.867047559936
110,9907,2011,129178,Murfreesboro, TN,5XYKUDA11BG101704,Kia,SorentoAWD,105,13,110,5,92,12315.2901417334
111,53500,2014,21365,Elko, NV,1FT7W2BT6EEA78907,Ford,Super,106,32,111,4,68,20314.963250198296
112,18742,2016,17782,Cleveland, GA,1C4PJLAB9GW265620,Jeep,CherokeeFWD,107,1,112,1,93,20621.014343094612
113,14991,2017,12338,San Antonio, TX,3MYDLBYV9HY170915,Toyota,Yaris,40,6,113,3,94,20954.022189390416
114,33988,2014,73409,Mt. Juliet, TN,1GNSCCE07ER105803,Chevrolet,Tahoe2WD,108,13,114,0,95,16490.15787175674
115,13995,2010,103298,Kissimmee, FL,WDCGG8HBXAF357273,Mercedes-Benz,GLK-Class4MATIC,109,19,115,6,96,14240.129766738906
116,13930,2013,36433,Wilsonville, OR,JM1BL1LP1D1784316,Mazda,Mazda3i,57,28,116,15,97,19160.702916975322
117,7683,2007,77060,O'Fallon, IL,JM3ER293070124730,Mazda,CX-7FWD,110,2,117,15,98,16156.65744718923
118,23981,2016,9904,Pleasanton, CA,JTDKARFU2G3019808,Toyota,PriusThree,111,9,118,3,99,21227.89388868821
119,38995,2017,10661,Oklahoma City, OK,3GCUKREC5HG354901,Chevrolet,Silverado,0,0,119,0,5,20973.160507439057
120,12575,2014,58226,Williston, VT,KNDJP3A57E7104480,Kia,SoulAutomatic,112,34,120,5,37,17590.649792842476
121,17991,2015,36514,South Bend, IN,1FMCU0GX9FUC60558,Ford,EscapeFWD,113,29,121,4,89,19250.870078706586
122,15988,2013,73894,Orange, MA,KL4CJGSB4DB172313,Buick,EncoreLeather,114,21,122,23,100,16474.738657840193
123,14000,2014,43587,Goldsboro, NC,5XYKT3A60EG495242,Kia,SorentoLX,115,7,123,5,34,18680.085344439336
124,16995,2015,28027,Jamaica, NY,1HGCR2F79FA141169,Honda,Accord,116,31,124,9,40,19852.92002834154
125,31860,2016,29058,Front Royal, VA,1GCVKREC3GZ189479,Chevrolet,Silverado,117,12,125,0,5,19762.0465706163
126,18400,2014,28805,Red Springs, NC,2G11Y5SL4E9208793,Chevrolet,ImpalaLS,118,7,126,0,101,19835.17754012474
127,15480,2015,38897,Springfield, MO,JTDKN3DU5F1915891,Toyota,PriusThree,119,24,127,3,99,19102.41096116649
128,7995,2007,163133,Charlotte, NC,2FMDK39C07BA70483,Ford,EdgeFWD,48,7,128,4,102,9734.53430489345
129,12509,2008,164629,Corpus Christi, TX,2GTEC13C681214516,GMC,Sierra,89,6,129,11,45,9645.348418406214
130,12990,2011,38567,Walla Walla, WA,1N4AL2AP6BN415337,Nissan,Altima4dr,120,3,130,2,76,19072.820908018464
131,18998,2017,11402,Leavenworth, KS,3FA6P0PUXHR191121,Ford,Fusion,19,17,131,4,103,21044.753197056725
132,19208,2015,31534,Lansing, MI,2GNFLFEK1F6258243,Chevrolet,EquinoxAWD,121,22,132,0,10,19593.345083092212
133,11987,2005,51902,St. Charles, IL,WDBTK65GX5T054569,Mercedes-Benz,CLK-ClassCLK320,122,2,133,6,104,18052.28763598975
134,22422,2015,10235,Scotia, NY,1HGCR2F82FA229182,Honda,Accord,123,31,134,9,40,21200.971279685993
135,18533,2017,10106,Vandalia, OH,1G1BE5SM6H7171483,Chevrolet,CruzeSedan,124,4,135,0,105,21281.625407881816
136,9995,2007,134972,Cranston, RI,JHLRE48747C011175,Honda,CR-V4WD,125,35,136,9,106,11939.417526534162
137,27890,2015,79899,Blair, NE,3C6URVJG4FE512061,Ram,ProMaster,126,36,137,20,107,16106.376009154044
138,23212,2010,66933,Macon, GA,1FTFW1CVXAFB98252,Ford,F-1502WD,127,1,138,4,108,17013.12372115673
139,35899,2017,11282,Mesquite, TX,1C6RR7NT9HS617137,Ram,1500Laramie,128,6,139,20,109,21212.85432324738
140,19748,2014,30847,Canton, MI,5TDZK3DC9ES471298,Toyota,"SiennaL,",129,22,140,3,110,19737.246376219795
141,11999,2016,27058,Highland Park, IL,5NPDH4AEXGH756170,Hyundai,ElantraValue,130,2,141,21,111,20042.56709334698
142,25771,2016,8986,San Diego, CA,JTDKARFU6G3525044,Toyota,PriusThree,131,9,142,3,99,21374.29293059951
143,16657,2016,30390,Greenville, NC,1VWBS7A37GC042921,Volkswagen,Passat1.8T,132,7,143,16,112,19803.77808227163
144,14888,2012,88064,Ashland, KY,JF2SHBBC8CG435950,Subaru,Forester2.5X,133,15,144,10,113,15496.45955330897
145,11693,2014,35966,Bedford, OH,KNAGM4A78E5521349,Kia,OptimaLX,134,4,145,5,13,19300.808706753964
146,15298,2016,39211,Vallejo, CA,KMHE24L10GA008479,Hyundai,Sonata,135,9,146,21,114,19163.22428473292
147,14700,2010,21824,Arlington, TX,1GCPCPEA6AZ241798,Chevrolet,Silverado,136,6,147,0,5,20305.81825135481
148,17650,2012,63772,Brooklyn Park, MN,2C4RC1GG6CR237206,Chrysler,Town,137,8,148,7,35,17248.731405000308
149,12000,2014,70389,Wilmington, NC,KNDJP3A53E7023086,Kia,SoulAutomatic,92,7,149,5,37,16727.22382689204
150,12989,2012,64495,Ardmore, OK,1HGCP2F38CA016825,Honda,Accord,138,0,150,9,40,17204.111189382773
151,33600,2015,40815,Ballwin, MO,5TDJKRFH6FS146943,Toyota,HighlanderAWD,139,24,151,3,115,19050.98976128863
152,5995,2007,171253,Charlotte, NC,1HGCM55317A035170,Honda,Accord,48,7,152,9,40,9140.13018626463
153,21888,2017,22331,Phoenix, AZ,KNDMB5C16H6228395,Kia,SedonaLX,140,18,153,5,116,20446.61531034092
154,33982,2017,4065,CARY, NC,WDCTG4EB9HJ359678,Mercedes-Benz,GLAGLA,141,7,154,6,117,21802.071850384727
155,19411,2014,24751,Houston, TX,1G6AG5RX1E0195520,Cadillac,ATS2.0L,6,6,155,25,118,20073.23500978343
156,8547,2007,135619,Winnsboro, LA,1J8GR48K17C673883,Jeep,Grand,142,33,156,1,42,11908.220028946918
157,27477,2014,26330,Highland Park, IL,WBA5A7C50ED615504,BMW,5,130,2,157,13,48,20062.529235662976
158,8995,2004,87962,Colchester, CT,1J4GW48S14C375601,Jeep,Grand,39,26,158,1,42,15278.459816850576
159,22695,2017,28019,Escondido, CA,2GKALPEK0H6108821,GMC,TerrainFWD,143,9,159,11,90,20022.540306660656
160,8814,2007,62843,St. Peters, MO,1G4HR57Y07U107954,Buick,Lucerne4dr,144,24,160,23,119,17365.60005872116
161,6800,2002,165611,London, OH,2GTEK19V021255968,GMC,Sierra,145,4,161,11,45,9649.985993906772
162,29980,2015,32887,SAN FRANCISCO, CA,55SWF4JB1FU055193,Mercedes-Benz,C-ClassC300,146,9,162,6,120,19673.730465143293
163,25922,2012,31458,Brockton, MA,1N6AA0EJ2CN324669,Nissan,Titan4WD,147,21,163,2,121,19752.596473426463
164,15495,2014,72773,Woodland Hills, CA,JTDKN3DU1E1764143,Toyota,PriusFour,148,9,164,3,122,16718.83423326695
165,22999,2017,29292,El Cajon, CA,KM8SM4HF9HU179748,Hyundai,Santa,149,9,165,21,64,19930.07461972621
166,29995,2014,93027,Sioux Falls, SD,1FTFW1EF4EFA93542,Ford,F-1504WD,150,37,166,4,52,15176.02308869628
167,24605,2017,20914,Milwaukee, WI,1GNKRGKD1HJ216010,Chevrolet,TraverseFWD,151,16,167,0,123,20601.261967825034
168,18388,2016,7856,Alhambra, CA,5YFBURHE2GP464876,Toyota,CorollaS,152,9,168,3,124,21561.010882606362
169,18999,2017,10659,Yuba City, CA,5YFBURHE1HP576666,Toyota,CorollaLE,153,9,169,3,125,21368.41212903925
170,16821,2015,42689,Statesboro, GA,4T1BF1FK4FU879473,Toyota,CamryXSE,154,1,170,3,23,18901.656527010706
171,31000,2015,57385,Heber Springs, AR,1FTEW1EF9FFB04421,Ford,F-1504WD,155,38,171,4,52,17842.5323252648
172,8756,2012,88448,Owings Mills, MD,2T1BU4EE8CC871571,Toyota,Corolla4dr,156,25,172,3,12,15483.141699620184
173,15500,2015,37586,Walnut Creek, CA,4T4BF1FK6FR471823,Toyota,CamryLE,157,9,173,3,126,19368.51448009185
174,18501,2014,35861,Kirkland, WA,WVGBV3AX8EW559626,Volkswagen,TiguanS,158,3,174,16,127,19490.0164309058
175,49995,2014,75223,Buena Park, CA,SALWR2WF8EA361509,Land,Rover,159,9,175,26,83,16547.547847550588
176,14393,2016,15078,Akron, OH,1C4NJDBBXGD778639,Jeep,CompassSport,160,4,176,1,72,21014.308490593183
177,33400,2016,4017,Boise, ID,3C6RR7LT0GG214608,Ram,"1500SLT,",161,39,177,20,128,21883.143529629946
178,17446,2015,32704,Miami, FL,4T1BF1FK5FU024801,Toyota,CamryXLE,95,19,178,3,129,19666.268309938147
179,19888,2015,49543,Westminster, CA,JTHKD5BH7F2217117,Lexus,CT,162,9,179,8,130,18506.336398334723
180,20005,2014,45478,Longmont, CO,2HKRM4H78EH620027,Honda,CR-VEX-L,163,14,180,9,131,18801.320853625417
181,26005,2014,23119,Monroe, MI,1GC3KZCG3EF181619,Chevrolet,Silverado,164,22,181,0,5,20364.698017058538
182,16990,2014,63132,Lumberton, NJ,JF2GPAKC2E8334113,Subaru,XV,165,20,182,10,132,17502.792895338065
183,28998,2015,36415,Phoenix, AZ,1G6AT5S35F0135440,Cadillac,CTS,140,18,183,25,133,19463.428268394833
184,24835,2016,1465,Toms River, NJ,1G4GB5G33GF129634,Buick,LaCrosseFWD,166,20,184,23,134,22096.9363688513
185,24520,2012,35777,Olathe, KS,2G1FK1EJ8C9109689,Chevrolet,CamaroCoupe,167,17,185,0,135,19517.01786719912
186,5795,2011,84175,Anaheim, CA,3FADP4BJ0BM233991,Ford,Fiesta4dr,168,9,186,4,136,15927.497669636285
187,22991,2014,25237,Tacoma, WA,2T3RFREV0EW170683,Toyota,RAV44X4,169,3,187,3,137,20325.963709541193
188,32981,2015,31645,Plano, TX,5TDKKRFH8FS111910,Toyota,HighlanderFWD,170,6,188,3,6,19766.840052550015
189,8995,2010,120757,Houston, TX,1FAHP2FW8AG142066,Ford,Taurus4dr,6,6,189,4,138,13013.280140863995
190,21495,2017,7456,Doral, FL,JC1NFAEK8H0107410,FIAT,124,104,19,190,27,139,21603.48377185868
191,31500,2014,30184,Warren, MI,WBA5B3C58ED536202,BMW,5,171,22,191,13,48,19906.037437409715
192,12990,2013,36733,Marianna, FL,5NPDH4AE8DH178680,Hyundai,ElantraLimited,172,19,192,21,140,19483.925157649774
193,29750,2014,41190,Louisville, KY,JTHBE1BL3E5043246,Lexus,GS,173,15,193,8,141,19167.781114525602
194,26790,2014,27698,Milford, MA,1GCVKREH7EZ323435,Chevrolet,Silverado,174,21,194,0,5,20067.09679853466
195,24040,2014,13859,Bloomfield, NJ,WBA3B5G55ENS10283,BMW,3,175,20,195,13,86,21156.988729281977
196,40710,2018,11,Draper, UT,1FTEX1EP5JKC28725,Ford,F-150Lariat,176,5,196,4,142,22268.735336824866
197,10795,2016,45436,Orlando, FL,1C3CCCAB2GN165054,Chrysler,200Limited,51,19,197,7,143,18732.21311232368
198,24460,2017,26262,Columbus, MS,2C4RDGEG3HR629988,Dodge,Grand,55,40,198,19,42,20095.539625791378
199,16995,2011,93233,Union City, GA,KMHHU6KH1BU047851,Hyundai,Genesis,177,1,199,21,144,15303.518549312395
200,35000,2016,27803,Bedford, IN,3GCUKRECXGG249916,Chevrolet,Silverado,134,29,200,0,5,20044.417547031102
201,50265,2017,31859,Miami, FL,1GNSCCKC0HR143862,Chevrolet,TahoePremier,95,19,201,0,145,19813.16707821177
202,11789,2009,74949,Belair, MD,2T1KE40E09C026839,Toyota,Matrix5dr,178,25,202,3,146,16646.158250551893
203,10982,2012,64843,Elkton, VA,1FAHP3N26CL277089,Ford,Focus5dr,179,12,203,4,147,17429.370208860677
204,28500,2015,42777,East Providence, RI,1FTEX1EP3FFC66292,Ford,F-1504WD,180,35,204,4,52,19028.33733397724
205,18728,2015,28166,Manvel, TX,1FMCU9GX3FUA97443,Ford,Escape4WD,181,6,205,4,148,20183.516697316394
206,31927,2015,27571,Hamburg, NY,1FTEW1EF5FFB49517,Ford,F-1504WD,182,31,206,4,52,20160.556218435224
207,40190,2014,42089,Highland Park, IL,5TDJW5G16ES096557,Toyota,Sequoia4WD,130,2,207,3,149,19082.939705758356
208,13485,2016,30993,Sanford, FL,4T1BF1FK2GU176116,Toyota,CamryLE,183,19,208,3,126,19978.51124158148
209,18500,2015,13856,Miami, FL,2T3WFREV6FW230339,Toyota,RAV44X2,95,19,209,3,55,21074.327750986682
210,42678,2014,38404,Rockland, MA,WBAKP9C52ED692730,BMW,5,184,21,210,13,48,19356.012208816504
211,14988,2016,42785,Willowbrook, IL,KNDPBCAC5G7810616,Kia,SportageAWD,185,2,211,5,39,19047.55530121286
212,9350,2010,126461,Freehold, NJ,KM8NUDCC4AU132773,Hyundai,VeracruzAWD,186,20,212,21,150,12879.578635161246
213,28985,2015,38401,Dublin, OH,JTHBK1GGXF2187335,Lexus,ES,187,4,213,8,51,19377.812329042405
214,26494,2017,21025,Rockwall, TX,1C6RR6GT6HS542176,Ram,1500SLT,188,6,214,20,62,20698.052890084804
215,12495,2010,76672,Kissimmee, FL,1HGCP2F87AA060288,Honda,Accord,109,19,215,9,40,16391.044341655972
216,18500,2012,42892,Sunrise, FL,3GYFNAE35CS503406,Cadillac,SRXFWD,189,19,216,25,151,19100.58937473929
217,14895,2016,28000,La Grande, OR,1FADP3K28GL282853,Ford,FocusHatchback,190,28,217,4,18,20147.9415249313
218,13000,2014,23979,Omaha, NE,1G11B5SLXEF217989,Chevrolet,MalibuLS,191,36,218,0,152,20529.671584384578
219,9996,2008,219487,Commerce City, CO,1FDWF37Y18ED96780,Ford,Super,192,14,219,4,68,5931.570944155643
